Species	Common name	Order	Ecology	Total Length (cm)	Head length (cm)	Snout-eye (cm)	Upper jaw height (cm)	Lower jaw height (cm)	Snout-Pectoral (cm)	Gill size (cm)	Pectoral fin length (cm)	Pectoral fin width (cm)	Snout-Dorsal (cm)	Dorsal fin height (cm)	Dorsal fin width (cm)	DorsalA-Pectoral (cm)	DorsalTip-Abdomen (cm)	DorsalP-Abdomen  (cm)	Dorsal1-Dorsal2 (cm)	Pectoral-Pelvic (cm)	Pelvic fin length (cm)	Pelvic fin width (cm)	Back-PelvicA (cm)	Pelvic-anal (cm)	Dorsal2-Anal (cm)	Dorsal-Caudal (cm)	Fork height (cm)	Tail height (cm)	Sex	Life stage	Image score
Isurus paucus	Longfin Mako	Lamniformes	Macropredator	184	50.23	7.66	12.73	5.18	43.94	15.78	56.63	18.26	72.2	19.45	22.53	25.61	57.09	35.12	45.62	51.35	7.17	13.51	25.05	16.09	10.08	87.87	4.62	44.36	F	S	3
Isurus paucus	Longfin Mako	Lamniformes	Macropredator	124.34	33.81	5.6	7.02	4.3	31.97	11.23	37.34	10.81	46.9	12.68	12.13	15.2	32.59	19.36	30.2	25.84	4.25	7.92	13.7	13.84	6.34	65.78	2.8	22.84	F	J	3
Isurus paucus	Longfin Mako	Lamniformes	Macropredator	226.88	54.25	5.81	14.42	5.31	44.77	19.73	64.39	28.99	84.1	22.26	23.4	28.45	65.13	40.85	53.12	59.06	7.64	9.91	29.21	23.4	11.76	120.27	5.31	53.11	F	A	3
Isurus paucus	Longfin Mako	Lamniformes	Macropredator	118.24	34.29	5.94	7.32	5.12	33	8.52	29.54	6.86	47.55	10.81	12.9	13.83	30.22	18.72	31.27	28.95	5	7.64	16.16	16.62	6.86	58.47	2.77	32.78	F	J	3
Isurus paucus	Longfin Mako	Lamniformes	Macropredator	120	32.04	4.52	8.63	4	30.04	10.43	34.42	11.13	44.47	11.6	12.15	14.91	29.97	17.68	29.21	25.82	5.66	6.33	13.81	12.08	7.46	63.25	3.87	25.48	U	J	3
Lamna ditropis	Salmon	Lamniformes	Macropredator	130.42	36	6.35	10.18	4.05	33.04	10.07	22.44	14.73	44.97	13.35	17.83	20.9	33.7	20.24	29.54	24.51	6.02	7.2	15.21	14.11	8.32	69.48	3.43	32.06	U	J	3
Lamna ditropis	Salmon	Lamniformes	Macropredator	76.2	30.12	5.83	6.36	6.28	29.28	9.91	17.42	6.25	33.14	5.22	8.32	9.23	19.3	13.55	17.25	15.59	2.88	3.36	8.48	3.63	5.22	35.19	2.88	16.57	F	J	2
Lamna ditropis	Salmon	Lamniformes	Macropredator	250	58.15	6.39	14.98	8.59	53.08	22.94	34.4	22.34	72.03	30.62	32.6	33.04	77.97	46.48	69.38	44.49	13.52	17.08	32.82	30.4	15.42	147.36	7.05	70.04	M	A	3
Lamna ditropis	Salmon	Lamniformes	Macropredator	40.77	11.91	1.71	3.5	0.82	11.07	3.59	6.87	4.24	13.75	3.52	5.27	6.46	9.86	6.02	8.5	6.32	1.71	2.27	4.84	3.64	1.91	21.75	1.26	7.02	U	J	3
Lamna ditropis	Salmon	Lamniformes	Macropredator	93.7	26.66	3.65	5.75	3.26	24.25	8.46	18.73	9.18	33.26	8	11.74	15.08	27.9	19.28	23.63	19.59	3.96	7.95	12.28	5.75	6.53	49.66	3.19	22.46	M	J	3
